"";"ID";"anio";"dpto";"region";"w_ano";"e26";"e27";"e29_6";"e49";"e51_2";"e51_3";"e51_4_a";"e51_4_b";"e51_5";"e51_6a";"e201_1a";"e201_1b";"e201_1c";"e201_1d";"e51_6";"e51_8";"e218_1";"e51_9";"e51_10";"e51_11";"e224_1";"f85";"f124_1";"f124_2";"f124_3";"f124_5";"f73";"POBPCOAC";"PT1";"PT2";"PT4";"edu";"exp";"lpt1";"pt1";"lpt4";"pt4";"exp2"
"8583";22700;2022;13;2;107;1;30;3;1;6;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;84;2;2;2;1;1;2;53319,65;53319,65;53319,65;8;16;10,8840602101301;53320;10,8840602101301;53320;256
"8584";22701;2022;13;2;116;1;36;3;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;2;2;2;1;2;2;20000;20000;20000;6;24;9,90348755253613;20000;9,90348755253613;20000;576
"8585";22702;2022;13;2;50;2;43;3;1;6;0;3;0;3;0;1;0;1;0;0;0;1;5;0;0;0;40;2;2;2;1;2;2;49619,7;39619,7;39619,7;17;20;10,8121432112783;49620;10,5870817482905;39620;400
"8586";22704;2022;13;2;106;2;36;3;1;6;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;20;2;2;2;1;9;2;13140;6000;6000;9;21;9,4834162920386;13140;8,69951474821019;6000;441
"8587";22704;2022;13;2;106;1;30;3;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;2;2;2;1;1;2;20809,85;20809,85;20809,85;6;18;9,94318171128866;20810;9,94318171128866;20810;324
"8588";22705;2022;13;2;118;2;60;3;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72;2;1;2;1;9;2;34000;18000;18000;6;48;10,4341158035983;34000;9,7981270368783;18000;2304
"8589";22705;2022;13;2;118;1;24;3;1;6;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;48;2;2;2;2;1;2;16897;16897;16897;7;11;9,73489137036065;16897;9,73489137036065;16897;121
"8590";22705;2022;13;2;118;1;20;3;1;6;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;48;2;2;2;2;1;2;8000;8000;8000;9;5;8,98719682066197;8000;8,98719682066197;8000;25
"8591";22706;2022;13;2;53;2;57;3;1;6;0;3;0;3;0;1;0;1;0;0;0;0;0;0;0;0;40;2;2;2;1;2;2;43000;43000;43000;12;39;10,6689553946757;43000;10,6689553946757;43000;1521
"8592";22707;2022;13;2;112;1;34;3;1;6;0;3;0;1;1;1;0;2;0;0;0;0;0;0;0;0;48;2;2;2;1;1;2;42809,85;42809,85;42809,85;11;17;10,6645234952786;42810;10,6645234952786;42810;289
"8593";22707;2022;13;2;112;2;36;3;1;6;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;24;2;2;2;1;9;2;20000;20000;20000;8;22;9,90348755253613;20000;9,90348755253613;20000;484
"8594";22708;2022;13;2;103;1;61;3;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;2;2;2;1;1;2;20000;20000;20000;6;49;9,90348755253613;20000;9,90348755253613;20000;2401
"8595";22708;2022;13;2;103;1;30;3;1;6;0;3;0;3;0;1;0;1;0;0;0;2;2;0;0;0;40;2;2;2;1;1;2;12000;12000;12000;14;10;9,39266192877014;12000;9,39266192877014;12000;100
"8596";22709;2022;13;2;54;1;58;3;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;1;2;2;2;1;2;37000;25000;25000;6;46;10,5186731916264;37000;10,1266311038503;25000;2116
"8597";22711;2022;13;2;73;1;57;3;1;6;0;3;0;3;0;1;0;1;0;0;0;0;0;0;0;0;48;2;2;2;1;9;2;8000;8000;8000;12;39;8,98719682066197;8000;8,98719682066197;8000;1521
"8598";22712;2022;13;2;79;2;48;3;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;2;2;2;1;9;2;11195;4500;4500;4;38;9,32322252903286;11195;8,41183267575841;4500;1444
"8599";22712;2022;13;2;79;1;22;3;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;2;2;2;2;1;2;20774,4;20774,4;20774,4;6;10;9,94147673844016;20774;9,94147673844016;20774;100
"8600";22713;2022;13;2;105;2;41;3;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;2;2;2;1;1;2;13609,85;10809,85;10809,85;6;29;9,51854907427692;13610;9,28821303449628;10810;841
"8601";22713;2022;13;2;105;1;43;3;1;6;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;48;2;2;2;1;1;2;20809,85;20809,85;20809,85;7;30;9,94318171128866;20810;9,94318171128866;20810;900
"8602";22719;2022;13;2;102;1;45;3;1;6;0;3;0;3;0;1;0;1;0;0;0;0;0;0;0;0;30;2;2;2;1;2;2;66809,85;34809,85;66809,85;12;27;11,1096058037441;66810;11,1096058037441;66810;729
"8603";22719;2022;13;2;102;2;49;3;1;6;0;3;0;3;0;1;0;1;0;0;0;2;2;0;0;0;48;2;2;2;1;1;2;20809,85;20809,85;20809,85;14;29;9,94318171128866;20810;9,94318171128866;20810;841
