Fecha;US_BV;US_BG;US_SG;US_SV;RT10;RHY;EMERG;DFA_V;VAN_V
Ene-12;0.045637344;6.48E-02;0.078146281;0.074155261;0.021529481;0.0272661;0.12054868;0.093120673;0.060323956
Feb-12;0.036412934;4.72E-02;0.033233909;0.014560897;-0.013467752;0.015318162;0.05271915;0.031752416;0.046313672
Mar-12;0.025765104;2.98E-02;0.01923443;0.026734204;-0.028165805;-0.00977212;-0.031130333;0.022983994;0.029810419
Abr-12;-0.00452239;1.72E-03;-0.015802835;-0.011114582;0.033387736;0.011185718;-0.016996521;-0.015993796;-0.006140334
May-12;-0.057933265;-6.42E-02;-0.070757769;-0.060813148;0.053237757;-0.031793833;-0.107058193;-0.071207566;-0.063548228
Jun-12;0.043598002;2.38E-02;0.05053403;0.042969695;0.000312576;0.0459429;0.037930819;0.040833482;0.047125324
Jul-12;0.014476278;1.47E-02;-0.016307236;-0.005922578;0.043796812;0.010732514;0.011710059;0.000485205;0.015301508
Ago-12;0.022816339;3.25E-02;0.035753938;0.034527339;-0.009974179;0.012616253;0.004090112;0.04213484;0.026595854
Set-12;0.025575628;1.05E-02;0.028174876;0.028229628;-0.006125322;0.005210495;0.052189406;0.031574941;0.02677036
Oct-12;0.000389926;-2.55E-02;-0.029814919;-0.010350871;0.001031674;0.008691852;-0.004355205;-0.006702001;-0.011774568
Nov-12;-0.00069651;1.75E-02;0.010591363;0.005218119;0.008625974;0.010277005;0.015552925;0.018441855;0.01191486
Dic-12;0.014913092;-5.92E-03;0.019249102;0.031557375;-0.018467438;0.003224108;0.061258804;-0.031411588;-0.00252302
Ene-13;0.071239455;4.88E-02;0.075206713;0.070528679;-0.034345145;0.014219411;0.003435993;0.140635959;0.095639977
Feb-13;0.012135234;1.08E-02;0.010232545;0.009999021;0.011920103;0.003949669;-0.022840528;0.017543431;0.022081901
Mar-13;0.03533192;3.43E-02;0.048305379;0.037123846;-0.0014368;0.0086696;-0.010182612;0.048909757;0.040895168
Abr-13;0.019910831;2.45E-02;-0.003985109;0.004036548;0.048760783;0.021394278;0.012158244;-0.01093459;0.010378053
May-13;0.026702018;1.93E-02;0.05130841;0.029580307;-0.057966043;-0.025528053;-0.048279041;0.053934873;0.026412343
Jun-13;-0.009457277;-2.09E-02;-0.008712123;-0.004865327;-0.055591658;-0.017155632;-0.065534323;-0.008368341;-0.010721869
Jul-13;0.04821602;5.13E-02;0.07613678;0.059138248;0.009689333;0.028408805;0.026558298;0.074834656;0.059970939
Ago-13;-0.032845918;-1.36E-02;-0.018528838;-0.038883245;-0.02185895;-0.012313989;-0.025378364;-0.041729506;-0.041581389
Set-13;0.020480502;4.09E-02;0.070614406;0.054181849;0.011494604;0.007426332;0.072067586;0.05112018;0.024893108
Oct-13;0.048876657;4.76E-02;0.018636654;0.035549131;0.021866368;0.025589456;0.041707349;0.036424619;0.042332029
Nov-13;0.027227964;2.74E-02;0.041347512;0.037745816;-0.017588689;0.004774918;-0.002590637;0.050754131;0.03262306
Dic-13;0.018825008;2.46E-02;0.017113321;0.013754272;-0.009068155;-0.00096839;-0.012986799;-0.022633193;0.005157986
Ene-14;-0.030105751;-2.54E-02;-0.013945728;-0.032541155;0.04886513;0.013927752;-0.078105842;-0.002930667;-0.008918551
Feb-14;0.042846183;5.13E-02;0.047625708;0.045587596;0.020150795;0.018016526;0.033778194;0.054480451;0.046833691
Mar-14;0.019222587;-1.36E-02;-0.025915892;0.008400282;0.012200826;-0.000738335;0.038753967;0.011857708;0.02709513
